Source,Target,Weight
Andre Iguodala,Andrew Wiggins,1
Andre Iguodala,Klay Thompson,1
Andre Iguodala,Stephen Curry,2
Andrew Wiggins,Klay Thompson,4
Andrew Wiggins,Donte DiVincenzo,3
Andrew Wiggins,Draymond Green,13
Andrew Wiggins,Jordan Poole,6
Anthony Lamb,Kevon Looney,1
Anthony Lamb,Stephen Curry,3
Donte DiVincenzo,JaMychal Green,2
Donte DiVincenzo,Jonathan Kuminga,5
Donte DiVincenzo,Anthony Lamb,6
Donte DiVincenzo,Klay Thompson,5
Donte DiVincenzo,Kevon Looney,6
Draymond Green,Moses Moody,1
Draymond Green,Anthony Lamb,3
Draymond Green,Jordan Poole,15
Draymond Green,Stephen Curry,14
Draymond Green,Donte DiVincenzo,6
Draymond Green,Jonathan Kuminga,2
Jonathan Kuminga,Ty Jerome,1
Jordan Poole,Ty Jerome,2
Jordan Poole,Andre Iguodala,1
Jordan Poole,Donte DiVincenzo,7
Jordan Poole,Jonathan Kuminga,1
Jordan Poole,Anthony Lamb,5
Jordan Poole,JaMychal Green,2
Jordan Poole,Klay Thompson,6
Kevon Looney,Andrew Wiggins,4
Kevon Looney,Jordan Poole,3
Klay Thompson,Kevon Looney,5
Klay Thompson,Draymond Green,7
Moses Moody,Andre Iguodala,1
Moses Moody,Jordan Poole,5
Moses Moody,Donte DiVincenzo,3
Moses Moody,Kevon Looney,1
Stephen Curry,Jonathan Kuminga,2
Stephen Curry,Moses Moody,2
Stephen Curry,Kevon Looney,7
Stephen Curry,Klay Thompson,12
Stephen Curry,Andrew Wiggins,4
Stephen Curry,Donte DiVincenzo,1
Stephen Curry,Jordan Poole,12
Ty Jerome,Stephen Curry,2
Ty Jerome,Patrick Baldwin Jr.,1
Ty Jerome,Moses Moody,1
Ty Jerome,Anthony Lamb,1
Ty Jerome,Donte DiVincenzo,4
Ty Jerome,Kevon Looney,1
