Source,Target,Weight
Anthony Davis,LeBron James,23
Anthony Davis,Kendrick Nunn,1
Anthony Davis,Juan Toscano-Anderson,1
Anthony Davis,Troy Brown Jr.,5
Anthony Davis,Dennis Schroder,1
Anthony Davis,Russell Westbrook,8
Anthony Davis,Austin Reaves,6
Anthony Davis,Lonnie Walker IV,9
Austin Reaves,LeBron James,20
Austin Reaves,Wenyen Gabriel,3
Austin Reaves,Kendrick Nunn,4
Austin Reaves,Lonnie Walker IV,8
Austin Reaves,Dennis Schroder,3
Austin Reaves,Troy Brown Jr.,3
Austin Reaves,Anthony Davis,5
Austin Reaves,Russell Westbrook,2
Austin Reaves,Matt Ryan,3
Austin Reaves,Damian Jones,1
Austin Reaves,Patrick Beverley,1
Austin Reaves,Thomas Bryant,3
Cole Swider,Max Christie,1
Damian Jones,Troy Brown Jr.,1
Damian Jones,Matt Ryan,1
Damian Jones,Patrick Beverley,1
Dennis Schroder,Max Christie,1
Dennis Schroder,Austin Reaves,6
Dennis Schroder,Rui Hachimura,1
Dennis Schroder,Wenyen Gabriel,5
Dennis Schroder,Juan Toscano-Anderson,3
Dennis Schroder,Russell Westbrook,6
Dennis Schroder,Damian Jones,2
Dennis Schroder,Patrick Beverley,10
Dennis Schroder,LeBron James,33
Dennis Schroder,Kendrick Nunn,2
Dennis Schroder,Anthony Davis,7
Dennis Schroder,Lonnie Walker IV,10
Dennis Schroder,Thomas Bryant,17
Dennis Schroder,Troy Brown Jr.,13
Juan Toscano-Anderson,Russell Westbrook,5
Juan Toscano-Anderson,Dennis Schroder,1
Juan Toscano-Anderson,Max Christie,2
Juan Toscano-Anderson,Troy Brown Jr.,3
Juan Toscano-Anderson,LeBron James,2
Juan Toscano-Anderson,Kendrick Nunn,1
Juan Toscano-Anderson,Matt Ryan,1
Juan Toscano-Anderson,Lonnie Walker IV,2
Juan Toscano-Anderson,Anthony Davis,1
Kendrick Nunn,Max Christie,1
Kendrick Nunn,LeBron James,3
Kendrick Nunn,Damian Jones,1
Kendrick Nunn,Wenyen Gabriel,5
Kendrick Nunn,Anthony Davis,6
Kendrick Nunn,Matt Ryan,1
Kendrick Nunn,Russell Westbrook,3
Kendrick Nunn,Thomas Bryant,3
Kendrick Nunn,Juan Toscano-Anderson,1
LeBron James,Matt Ryan,3
LeBron James,Anthony Davis,47
LeBron James,Austin Reaves,20
LeBron James,Thomas Bryant,42
LeBron James,Dennis Schroder,20
LeBron James,Juan Toscano-Anderson,8
LeBron James,Kendrick Nunn,11
LeBron James,Lonnie Walker IV,31
LeBron James,Patrick Beverley,24
LeBron James,Rui Hachimura,1
LeBron James,Russell Westbrook,29
LeBron James,Wenyen Gabriel,14
LeBron James,Troy Brown Jr.,18
LeBron James,Damian Jones,2
LeBron James,Max Christie,4
Lonnie Walker IV,Patrick Beverley,3
Lonnie Walker IV,LeBron James,11
Lonnie Walker IV,Dennis Schroder,2
Lonnie Walker IV,Troy Brown Jr.,2
Lonnie Walker IV,Russell Westbrook,1
