Source,Target,Weight
Anthony Davis,Kendrick Nunn,2
Anthony Davis,Lonnie Walker IV,5
Anthony Davis,Austin Reaves,3
Anthony Davis,Max Christie,1
Anthony Davis,Patrick Beverley,1
Anthony Davis,Russell Westbrook,1
Austin Reaves,Anthony Davis,6
Austin Reaves,Juan Toscano-Anderson,1
Austin Reaves,Dennis Schroder,1
Austin Reaves,Lonnie Walker IV,3
Austin Reaves,Troy Brown Jr.,1
Austin Reaves,Kendrick Nunn,2
Austin Reaves,Wenyen Gabriel,1
Austin Reaves,Patrick Beverley,1
Austin Reaves,Max Christie,2
Austin Reaves,Russell Westbrook,4
Austin Reaves,Thomas Bryant,2
Cole Swider,Scotty Pippen Jr.,2
Cole Swider,Wenyen Gabriel,1
Cole Swider,Paris Bass,1
Cole Swider,Mason Jones,1
Cole Swider,Max Christie,2
Cole Swider,Sacha Killeya-Jones,1
Cole Swider,Shareef O'Neal,1
Damian Jones,Russell Westbrook,1
Dennis Schroder,Lonnie Walker IV,2
Dennis Schroder,Juan Toscano-Anderson,1
Dennis Schroder,Thomas Bryant,8
Dennis Schroder,Russell Westbrook,4
Dennis Schroder,Troy Brown Jr.,1
Dennis Schroder,Kendrick Nunn,1
Dennis Schroder,Cole Swider,1
Fabian White Jr.,R.J. Cole,1
Javante McCoy,Vitto Brown,4
Javante McCoy,Jay Huff,2
Javante McCoy,Mason Jones,1
Javante McCoy,Cole Swider,1
Javante McCoy,Fabian White Jr.,1
Javante McCoy,Sacha Killeya-Jones,1
Javante McCoy,R.J. Cole,1
Javante McCoy,Max Christie,3
Jay Huff,Vitto Brown,1
Jay Huff,Javante McCoy,1
Jay Huff,R.J. Cole,1
Jay Huff,Mason Jones,1
Jay Huff,Cole Swider,3
Juan Toscano-Anderson,Anthony Davis,1
Juan Toscano-Anderson,Max Christie,1
Juan Toscano-Anderson,Kendrick Nunn,2
Juan Toscano-Anderson,Thomas Bryant,1
Juan Toscano-Anderson,Dennis Schroder,1
Kendrick Nunn,Thomas Bryant,3
Kendrick Nunn,Wenyen Gabriel,2
Kendrick Nunn,Anthony Davis,1
Kendrick Nunn,Lonnie Walker IV,1
Kendrick Nunn,Dennis Schroder,1
Kendrick Nunn,Matt Ryan,1
Kendrick Nunn,Damian Jones,1
Lonnie Walker IV,Austin Reaves,1
Lonnie Walker IV,Troy Brown Jr.,2
Lonnie Walker IV,Dennis Schroder,2
Lonnie Walker IV,Anthony Davis,5
Mac McClung,Paris Bass,1
Mac McClung,Fabian White Jr.,2
Mason Jones,Vitto Brown,2
Mason Jones,Fabian White Jr.,1
Mason Jones,Scotty Pippen Jr.,3
Mason Jones,Javante McCoy,3
Mason Jones,Shareef O'Neal,1
Mason Jones,Cole Swider,3
Mason Jones,Max Christie,1
Mason Jones,Paris Bass,4
Mason Jones,Jay Huff,3
Mason Jones,Nate Pierre-Louis,2
Mason Jones,R.J. Cole,2
Matt Ryan,Kendrick Nunn,1
Max Christie,Nate Pierre-Louis,1
Max Christie,Thomas Bryant,1
Max Christie,Mac McClung,1
Max Christie,Troy Brown Jr.,1
Max Christie,Patrick Beverley,1
Max Christie,Scotty Pippen Jr.,1
Max Christie,Mason Jones,1
Max Christie,Jay Huff,1
Max Christie,Javante McCoy,1
Max Christie,Wenyen Gabriel,1
Max Christie,Cole Swider,5
Max Christie,Shareef O'Neal,1
Max Christie,Damian Jones,2
Nate Pierre-Louis,Vitto Brown,1
Nate Pierre-Louis,Max Christie,2
Nate Pierre-Louis,Sacha Killeya-Jones,1
Nate Pierre-Louis,Cole Swider,5
Paris Bass,Mason Jones,1
Paris Bass,Cole Swider,1
Paris Bass,Mac McClung,1
Patrick Beverley,Anthony Davis,7
Patrick Beverley,Thomas Bryant,3
Patrick Beverley,Dennis Schroder,2
Patrick Beverley,Lonnie Walker IV,6
Patrick Beverley,Russell Westbrook,1
Patrick Beverley,Austin Reaves,1
Patrick Beverley,Troy Brown Jr.,1
R.J. Cole,Vitto Brown,1
R.J. Cole,Jay Huff,1
R.J. Cole,Shareef O'Neal,1
R.J. Cole,Sacha Killeya-Jones,3
Russell Westbrook,Thomas Bryant,9
Russell Westbrook,Anthony Davis,12
Russell Westbrook,Lonnie Walker IV,11
Russell Westbrook,Troy Brown Jr.,6
Russell Westbrook,Dennis Schroder,2
Russell Westbrook,Cole Swider,1
Russell Westbrook,Damian Jones,3
Russell Westbrook,Austin Reaves,8
Russell Westbrook,Juan Toscano-Anderson,2
Russell Westbrook,Kendrick Nunn,4
Russell Westbrook,Wenyen Gabriel,14
Russell Westbrook,Patrick Beverley,1
Russell Westbrook,Max Christie,2
Sacha Killeya-Jones,Max Christie,1
Sacha Killeya-Jones,R.J. Cole,1
Sacha Killeya-Jones,Cole Swider,3
Sacha Killeya-Jones,Nate Pierre-Louis,1
Sacha Killeya-Jones,Mason Jones,1
Sacha Killeya-Jones,Scotty Pippen Jr.,1
Scotty Pippen Jr.,Max Christie,4
Scotty Pippen Jr.,Kendrick Nunn,1
Scotty Pippen Jr.,Sacha Killeya-Jones,6
Scotty Pippen Jr.,Mason Jones,3
Scotty Pippen Jr.,Cole Swider,12
Scotty Pippen Jr.,Nate Pierre-Louis,3
Scotty Pippen Jr.,Paris Bass,6
Scotty Pippen Jr.,Jay Huff,4
Shareef O'Neal,Mason Jones,1
Shareef O'Neal,Cole Swider,1
Sterling Brown,Max Christie,1
Thomas Bryant,Max Christie,1
Thomas Bryant,Lonnie Walker IV,1
Thomas Bryant,Kendrick Nunn,3
Troy Brown Jr.,Thomas Bryant,2
Troy Brown Jr.,Austin Reaves,2
Troy Brown Jr.,Russell Westbrook,1
Troy Brown Jr.,Lonnie Walker IV,1
Troy Brown Jr.,Anthony Davis,2
Troy Brown Jr.,Kendrick Nunn,1
Vitto Brown,Paris Bass,1
Vitto Brown,Javante McCoy,1
Vitto Brown,Scotty Pippen Jr.,1
Vitto Brown,Cole Swider,1
Wenyen Gabriel,Kendrick Nunn,1
Wenyen Gabriel,Troy Brown Jr.,1
Wenyen Gabriel,Austin Reaves,1
Wenyen Gabriel,Lonnie Walker IV,1
