Source,Target,Weight
A.J. Lawson,Theo Pinson,1
Christian Wood,Dwight Powell,3
Christian Wood,Reggie Bullock,5
Davis Bertans,Jaden Hardy,1
Davis Bertans,Dorian Finney-Smith,1
Davis Bertans,Josh Green,1
Davis Bertans,Luka Doncic,1
Davis Bertans,Dwight Powell,1
Dorian Finney-Smith,Josh Green,1
Dorian Finney-Smith,Frank Ntilikina,1
Dorian Finney-Smith,Reggie Bullock,2
Dwight Powell,Spencer Dinwiddie,2
Dwight Powell,Luka Doncic,12
Dwight Powell,Tim Hardaway Jr.,2
Dwight Powell,Frank Ntilikina,1
Frank Ntilikina,JaVale McGee,1
Frank Ntilikina,Reggie Bullock,1
Frank Ntilikina,A.J. Lawson,1
JaVale McGee,Reggie Bullock,1
Jaden Hardy,Christian Wood,2
Jaden Hardy,Dwight Powell,1
Jaden Hardy,Tim Hardaway Jr.,1
Jaden Hardy,A.J. Lawson,1
Josh Green,Reggie Bullock,2
Josh Green,Luka Doncic,3
Luka Doncic,Christian Wood,14
Luka Doncic,Spencer Dinwiddie,8
Luka Doncic,Reggie Bullock,12
Luka Doncic,Dorian Finney-Smith,3
Luka Doncic,Tim Hardaway Jr.,17
Luka Doncic,Jaden Hardy,2
Luka Doncic,JaVale McGee,3
McKinley Wright IV,Christian Wood,1
McKinley Wright IV,A.J. Lawson,1
McKinley Wright IV,Jaden Hardy,1
McKinley Wright IV,JaVale McGee,1
McKinley Wright IV,Theo Pinson,2
Reggie Bullock,Davis Bertans,2
Reggie Bullock,Tim Hardaway Jr.,3
Spencer Dinwiddie,Frank Ntilikina,3
Spencer Dinwiddie,Reggie Bullock,6
Spencer Dinwiddie,Josh Green,2
Spencer Dinwiddie,Jaden Hardy,4
Spencer Dinwiddie,Tim Hardaway Jr.,8
Spencer Dinwiddie,Davis Bertans,4
Spencer Dinwiddie,Dorian Finney-Smith,5
Spencer Dinwiddie,Christian Wood,9
Theo Pinson,Frank Ntilikina,1
Theo Pinson,Davis Bertans,2
Theo Pinson,Jaden Hardy,2
Tim Hardaway Jr.,Dorian Finney-Smith,1
Tim Hardaway Jr.,Christian Wood,2
