Source,Target,Weight
Anthony Davis,Juan Toscano-Anderson,1
Anthony Davis,Austin Reaves,3
Anthony Davis,Troy Brown Jr.,2
Anthony Davis,Russell Westbrook,7
Anthony Davis,Max Christie,1
Anthony Davis,LeBron James,12
Anthony Davis,Lonnie Walker IV,6
Anthony Davis,Kendrick Nunn,3
Austin Reaves,Matt Ryan,1
Austin Reaves,Russell Westbrook,3
Austin Reaves,Thomas Bryant,1
Austin Reaves,Dennis Schroder,2
Austin Reaves,Max Christie,2
Austin Reaves,LeBron James,8
Austin Reaves,Juan Toscano-Anderson,1
Austin Reaves,Lonnie Walker IV,6
Austin Reaves,Kendrick Nunn,2
Austin Reaves,Troy Brown Jr.,2
Austin Reaves,Wenyen Gabriel,1
Austin Reaves,Damian Jones,1
Austin Reaves,Anthony Davis,5
Cole Swider,Wenyen Gabriel,1
Cole Swider,Scotty Pippen Jr.,1
Cole Swider,Shareef O'Neal,1
Cole Swider,Paris Bass,1
Cole Swider,Max Christie,2
Damian Jones,Troy Brown Jr.,1
Damian Jones,Patrick Beverley,1
Damian Jones,Matt Ryan,1
Damian Jones,Russell Westbrook,1
Dennis Schroder,Max Christie,1
Dennis Schroder,Russell Westbrook,3
Dennis Schroder,Troy Brown Jr.,5
Dennis Schroder,Wenyen Gabriel,2
Dennis Schroder,Cole Swider,1
Dennis Schroder,LeBron James,8
Dennis Schroder,Austin Reaves,2
Dennis Schroder,Anthony Davis,2
Dennis Schroder,Lonnie Walker IV,6
Dennis Schroder,Thomas Bryant,12
Dennis Schroder,Patrick Beverley,4
Javante McCoy,Vitto Brown,2
Javante McCoy,Sacha Killeya-Jones,1
Javante McCoy,Cole Swider,1
Juan Toscano-Anderson,Dennis Schroder,2
Juan Toscano-Anderson,Kendrick Nunn,2
Juan Toscano-Anderson,Thomas Bryant,1
Juan Toscano-Anderson,Max Christie,2
Juan Toscano-Anderson,Lonnie Walker IV,2
Juan Toscano-Anderson,Troy Brown Jr.,2
Juan Toscano-Anderson,Russell Westbrook,3
Juan Toscano-Anderson,LeBron James,1
Juan Toscano-Anderson,Anthony Davis,2
Juan Toscano-Anderson,Matt Ryan,1
Kendrick Nunn,Matt Ryan,1
Kendrick Nunn,Max Christie,1
Kendrick Nunn,Anthony Davis,7
Kendrick Nunn,LeBron James,2
Kendrick Nunn,Wenyen Gabriel,3
Kendrick Nunn,Thomas Bryant,2
Kendrick Nunn,Damian Jones,2
Kendrick Nunn,Russell Westbrook,2
LeBron James,Damian Jones,1
LeBron James,Matt Ryan,1
LeBron James,Anthony Davis,21
LeBron James,Patrick Beverley,11
LeBron James,Russell Westbrook,13
LeBron James,Max Christie,2
LeBron James,Juan Toscano-Anderson,6
LeBron James,Wenyen Gabriel,12
LeBron James,Austin Reaves,10
LeBron James,Troy Brown Jr.,12
LeBron James,Dennis Schroder,7
LeBron James,Kendrick Nunn,6
LeBron James,Lonnie Walker IV,20
LeBron James,Thomas Bryant,18
Lonnie Walker IV,Anthony Davis,8
Lonnie Walker IV,Russell Westbrook,1
Lonnie Walker IV,LeBron James,9
