Source,Target,Weight
Anthony Davis,Max Christie,1
Anthony Davis,Lonnie Walker IV,7
Austin Reaves,Russell Westbrook,8
Austin Reaves,Lonnie Walker IV,2
Austin Reaves,Dennis Schroder,1
Austin Reaves,Juan Toscano-Anderson,1
Austin Reaves,Troy Brown Jr.,2
Austin Reaves,Kendrick Nunn,2
Austin Reaves,Wenyen Gabriel,2
Austin Reaves,Anthony Davis,3
Austin Reaves,Max Christie,2
Austin Reaves,Thomas Bryant,1
Cole Swider,Max Christie,1
Cole Swider,Wenyen Gabriel,1
Cole Swider,Scotty Pippen Jr.,1
Dennis Schroder,Thomas Bryant,8
Dennis Schroder,Juan Toscano-Anderson,2
Dennis Schroder,Kendrick Nunn,1
Dennis Schroder,Troy Brown Jr.,1
Dennis Schroder,Cole Swider,1
Juan Toscano-Anderson,Anthony Davis,1
Juan Toscano-Anderson,Max Christie,1
Juan Toscano-Anderson,Thomas Bryant,1
Juan Toscano-Anderson,Kendrick Nunn,2
Kendrick Nunn,Anthony Davis,2
Kendrick Nunn,Wenyen Gabriel,1
Kendrick Nunn,Matt Ryan,1
Kendrick Nunn,Lonnie Walker IV,1
Kendrick Nunn,Damian Jones,1
Lonnie Walker IV,Dennis Schroder,2
Lonnie Walker IV,Troy Brown Jr.,1
Max Christie,Wenyen Gabriel,1
Max Christie,Troy Brown Jr.,1
Max Christie,Thomas Bryant,2
Max Christie,Patrick Beverley,1
Max Christie,Damian Jones,2
Patrick Beverley,Austin Reaves,2
Patrick Beverley,Troy Brown Jr.,1
Patrick Beverley,Anthony Davis,5
Patrick Beverley,Russell Westbrook,1
Patrick Beverley,Lonnie Walker IV,5
Patrick Beverley,Thomas Bryant,2
Patrick Beverley,Dennis Schroder,2
Russell Westbrook,Max Christie,2
Russell Westbrook,Juan Toscano-Anderson,2
Russell Westbrook,Thomas Bryant,6
Russell Westbrook,Anthony Davis,8
Russell Westbrook,Kendrick Nunn,4
Russell Westbrook,Troy Brown Jr.,7
Russell Westbrook,Damian Jones,4
Russell Westbrook,Dennis Schroder,5
Russell Westbrook,Wenyen Gabriel,14
Russell Westbrook,Cole Swider,1
Russell Westbrook,Lonnie Walker IV,8
Scotty Pippen Jr.,Kendrick Nunn,1
Sterling Brown,Max Christie,1
Thomas Bryant,Kendrick Nunn,3
Thomas Bryant,Lonnie Walker IV,1
Troy Brown Jr.,Anthony Davis,2
Troy Brown Jr.,Thomas Bryant,1
Troy Brown Jr.,Kendrick Nunn,1
Wenyen Gabriel,Lonnie Walker IV,1
Wenyen Gabriel,Troy Brown Jr.,1
